d6a603c was Danne Connolly, 2 days ago, message: First commit
a6d487e was Taylor Otwell, 5 years ago, message: refactoring the uri class.
8443cef was Taylor Otwell, 5 years ago, message: added some notes to the home controller.
d4ddb05 was Taylor Otwell, 5 years ago, message: refactoring. added default controller. added uri class.
320653e was Taylor Otwell, 5 years ago, message: Merge pull request #122 from sparksp/fix/env_config
ca1e5ac was Phill Sparks, 5 years ago, message: Fix Laravel Env Config path
32989d3 was Taylor Otwell, 5 years ago, message: some small refactorings and cleanup.
b71ecb4 was Taylor Otwell, 5 years ago, message: removed packages directory. refactoring.
80f810d was Taylor Otwell, 5 years ago, message: refactoring the crypter class.
8d3151b was Taylor Otwell, 5 years ago, message: refactoring the crypter class.
0be75fc was Taylor Otwell, 5 years ago, message: refactoring the crypter class.
49b13e6 was Taylor Otwell, 5 years ago, message: refactoring lang and url classes.
21dccae was Taylor Otwell, 5 years ago, message: refactor sqlite connector to accept path in constructor.
23c79a0 was Taylor Otwell, 5 years ago, message: only define environment constant if it hasnt already been defined.
af36cb3 was Taylor Otwell, 5 years ago, message: various refactoring and tweaks.
df9130d was Taylor Otwell, 5 years ago, message: refactoring and working on redis.
ba29a0b was Taylor Otwell, 5 years ago, message: fix request tests.
d5d9776 was Taylor Otwell, 5 years ago, message: continuing to refactor the bootstrap process.
9fc9f88 was Taylor Otwell, 5 years ago, message: refactoring various pieces of the framework.
e985057 was Taylor Otwell, 5 years ago, message: fixed connector definition in container.
6ed7c83 was Taylor Otwell, 5 years ago, message: Merge pull request #119 from sparksp/fix/base_path
3a08b13 was Taylor Otwell, 5 years ago, message: changed route __call exception.
494bc0b was Taylor Otwell, 5 years ago, message: Merge pull request #120 from sparksp/fix/route_before
95af020 was Taylor Otwell, 5 years ago, message: continued validation refactoring.
d849cda was Taylor Otwell, 5 years ago, message: more validator refactoring.
06765e9 was Taylor Otwell, 5 years ago, message: continuing to refactor the validator.
fc820e7 was Taylor Otwell, 5 years ago, message: continuing to refactor the validator.
4f560fd was Taylor Otwell, 5 years ago, message: continuing to refactor the validator.
6f366d3 was Taylor Otwell, 5 years ago, message: continuing to refactor the validator.
ca784e9 was Taylor Otwell, 5 years ago, message: continuing to refactor the validator.
f8e63f3 was Taylor Otwell, 5 years ago, message: adding validator tests.
8bd6d34 was Taylor Otwell, 5 years ago, message: refactoring validator.
7f2fd60 was Phill Sparks, 5 years ago, message: Fixed route before filter and throw an Exception for anything falling through __call
58807cc was Phill Sparks, 5 years ago, message: Fixed laravel path bug Affects installations where laravel is in a submodule named laravel.
48f1879 was Taylor Otwell, 5 years ago, message: tweaking comments in sqlite connector.
87e8dbe was Taylor Otwell, 5 years ago, message: refactoring database query class.
454a510 was Taylor Otwell, 5 years ago, message: tweaking and refactoring the database connectors.
893acd8 was Taylor Otwell, 5 years ago, message: tweaking and refactoring the database connectors. added connectors to the container.
07f3f5d was Taylor Otwell, 5 years ago, message: tweaking the error bootstrap file.
543a487 was Taylor Otwell, 5 years ago, message: tweaking the error bootstrap file.
048c917 was Taylor Otwell, 5 years ago, message: tweaking the error bootstrap file.
7363519 was Taylor Otwell, 5 years ago, message: tweaking the core bootstrapper.
4553862 was Taylor Otwell, 5 years ago, message: fixing bugs and refactoring.
a7e98e8 was Taylor Otwell, 5 years ago, message: fixing bugs and refactoring.
b40e69c was Taylor Otwell, 5 years ago, message: fixed controller routing bug.
4a5e7c6 was Taylor Otwell, 5 years ago, message: fixed controller routing bug.
76a5bc4 was Taylor Otwell, 5 years ago, message: refactoring various classes.
2b93963 was Taylor Otwell, 5 years ago, message: removed unnecessary namespace import from eloquent model.
17ea093 was Taylor Otwell, 5 years ago, message: fixed str test cases and str::limit function.
a6eaa06 was Taylor Otwell, 5 years ago, message: refactoring routing and comments.
a44ca9d was Taylor Otwell, 5 years ago, message: working on comments.
9fa69e0 was Taylor Otwell, 5 years ago, message: refactoring routing and class comments.
cff90b5 was Taylor Otwell, 5 years ago, message: remove session manager from ioc container configuration.
3998066 was Taylor Otwell, 5 years ago, message: refactored session tests.
ba751b4 was Taylor Otwell, 5 years ago, message: restructured session handling.
f68a918 was Taylor Otwell, 5 years ago, message: refactoring session classes.
4342f82 was Taylor Otwell, 5 years ago, message: refactoring cache and session classes.
9f7ed57 was Taylor Otwell, 5 years ago, message: allow eloquent models to use increment and decrement.
9bf978a was Taylor Otwell, 5 years ago, message: added decrement method to query builder.
559785f was Taylor Otwell, 5 years ago, message: added increment method to query builder.
6845537 was Taylor Otwell, 5 years ago, message: added support for database expressions.
7640096 was Taylor Otwell, 5 years ago, message: modified splash page css.
8846110 was Taylor Otwell, 5 years ago, message: refactored and prettified the default database grammar.
08ea1db was Taylor Otwell, 5 years ago, message: fixed bug in request uri method.
f6ea58e was Taylor Otwell, 5 years ago, message: improve request uri detection.
02305fa was Taylor Otwell, 5 years ago, message: resolved conflicts.
7317b58 was Taylor Otwell, 5 years ago, message: refactored welcome pages.
e979cf1 was Taylor Otwell, 5 years ago, message: Merge pull request #115 from ericbarnes/fix/str_tests
aa607c9 was Eric Barnes, 5 years ago, message: Added unit tests for Str::limit and limit_words. Also fixed bug in limit with multibyte characters.
d951222 was Taylor Otwell, 5 years ago, message: Merge pull request #112 from ericbarnes/feature/unit-test
459b216 was Taylor Otwell, 5 years ago, message: Merge pull request #111 from ericbarnes/feature/str_limit
212b349 was Eric Barnes, 5 years ago, message: Added Str tests.
d077149 was Taylor Otwell, 5 years ago, message: finished tests for request class.
0cb81d8 was Taylor Otwell, 5 years ago, message: added request::uri tests.
f2b9d1e was Taylor Otwell, 5 years ago, message: added request tests.
c1e6871 was Taylor Otwell, 5 years ago, message: working more on tests.
bb77189 was Taylor Otwell, 5 years ago, message: cleaned up arr tests.
b3c9dc5 was Taylor Otwell, 5 years ago, message: refactoring testing setup.
392caee was Taylor Otwell, 5 years ago, message: refactoring formatting.
6cb79e6 was Taylor Otwell, 5 years ago, message: refactoring
d1c5aea was Taylor Otwell, 5 years ago, message: continuing to refactor auth remembrance.
1b057c2 was Taylor Otwell, 5 years ago, message: continuing to refactor auth remembrance.
e6f84bf was Taylor Otwell, 5 years ago, message: added integer validation check to user auth closure.
1738569 was Taylor Otwell, 5 years ago, message: continuing to work on the remember me authentication.
ba4fd3f was Eric Barnes, 5 years ago, message: Added str::limit and str::limit_words. Unfortunately php doesn't include mb_str_word_count.
6178a96 was Taylor Otwell, 5 years ago, message: Merge pull request #110 from ericbarnes/feature/remember_me
6e0d69e was Eric Barnes, 5 years ago, message: Refactered user and fixed parse error.
560a4cc was Eric Barnes, 5 years ago, message: Added comments and changed the $cookie var to use implode.
3d2aa29 was Eric Barnes, 5 years ago, message: Refactored auth remember me
b7b5451 was Taylor Otwell, 5 years ago, message: refactoring session handling.
c9beefa was Taylor Otwell, 5 years ago, message: add better comments to composer file.
8ba0dfa was Taylor Otwell, 5 years ago, message: refactoring controller __get magic method ioc resolution.
b6537da was Eric Barnes, 5 years ago, message: Added first draft of remember me to auth.
bcb6f18 was Taylor Otwell, 5 years ago, message: refactored bcrypt hashing engine.
92ecae3 was Taylor Otwell, 5 years ago, message: Merge pull request #108 from ericbarnes/feature/alias
8c9bd12 was Taylor Otwell, 5 years ago, message: fixed old uri ioc container reference.
c8965c0 was Eric Barnes, 5 years ago, message: Fixed the auth alias
45933cd was Taylor Otwell, 5 years ago, message: renamed auth remember to auth login.
c5c0ebc was Taylor Otwell, 5 years ago, message: allow rel and other stylesheet defaults to be overriden.
e366c62 was Taylor Otwell, 5 years ago, message: Merge pull request #106 from ericbarnes/feature/foreign_chars
1b09823 was Eric Barnes, 5 years ago, message: Changed the D and d in ascii to be Dj and dj. Dj is used as the translation in more languages.
845bdc5 was Taylor Otwell, 5 years ago, message: improved config loading performance.
4edcc32 was Taylor Otwell, 5 years ago, message: fixed bug in route to controller delegation.
f50a492 was Taylor Otwell, 5 years ago, message: fixed bug in ioc container singleton resolution.
2c2dcdc was Taylor Otwell, 5 years ago, message: Merge pull request #99 from sparksp/aeae2c8476523f1551825afcc17323c4b88d22c5
c00738a was Taylor Otwell, 5 years ago, message: Merge pull request #101 from codler/patch-1
48715bb was Taylor Otwell, 5 years ago, message: fixed bug in view composers. changed crypter alias.
1cafc02 was Taylor Otwell, 5 years ago, message: removed unnecessary variable from route.
71b0ab8 was Taylor Otwell, 5 years ago, message: refactoring container for speed.
6f9ae64 was Han Lin Yap, 5 years ago, message: Added ö
4263203 was Taylor Otwell, 5 years ago, message: added comments to pagination language.
52b68c0 was Taylor Otwell, 5 years ago, message: refactoring. adding back pagination.
aeae2c8 was Phill Sparks, 5 years ago, message: Secure extracts
34452f5 was Taylor Otwell, 5 years ago, message: minor refactoring.
eb956cc was Taylor Otwell, 5 years ago, message: some routing enhancements - still a work in progress.
7be960f was Taylor Otwell, 5 years ago, message: added missing parens.
1657524 was Taylor Otwell, 5 years ago, message: bug fixes.
dfe3a04 was Taylor Otwell, 5 years ago, message: added support for route filter parameters.
21592ec was Taylor Otwell, 5 years ago, message: refactoring and tweaking.
14186a0 was Taylor Otwell, 5 years ago, message: refactoring and bug fixes.
2eeb636 was Taylor Otwell, 5 years ago, message: changed $view->with to $view->nest.
57d62f5 was Taylor Otwell, 5 years ago, message: working on the pain in the rear paginator class.
d2f3015 was Taylor Otwell, 5 years ago, message: added comments to cache classes.
288781c was Taylor Otwell, 5 years ago, message: added comments to cache classes.
cc625e2 was Taylor Otwell, 5 years ago, message: cleaning up the cache class.
1fb70a8 was Taylor Otwell, 5 years ago, message: cleaning up sqlite connector.
7018b85 was Taylor Otwell, 5 years ago, message: cleaning up eloquent models.
2ac5a37 was Taylor Otwell, 5 years ago, message: cleaning up eloquent models.
b93a122 was Taylor Otwell, 5 years ago, message: commenting validation messages.
3c05f72 was Taylor Otwell, 5 years ago, message: refactoring string class.
442904b was Taylor Otwell, 5 years ago, message: refactoring.
5cc7c3a was Taylor Otwell, 5 years ago, message: refactoring.
3dbc60a was Taylor Otwell, 5 years ago, message: commenting bootstrap files.
abd23c9 was Taylor Otwell, 5 years ago, message: removed dies from error bootstraper.
9c319ba was Taylor Otwell, 5 years ago, message: refactoring database layer.
c502f8d was Taylor Otwell, 5 years ago, message: fixed merge conflicts.
c6f9734 was Taylor Otwell, 5 years ago, message: refactoring.
54c69d8 was Taylor Otwell, 5 years ago, message: refactoring.
ed3e3e7 was Taylor Otwell, 5 years ago, message: tweaked view comment.
d9201be was Taylor Otwell, 5 years ago, message: refactoring view compilation.
516f310 was Taylor Otwell, 5 years ago, message: added libraries directory.
91e3e3d was Taylor Otwell, 5 years ago, message: working on bootstrap comments.
79c5865 was Taylor Otwell, 5 years ago, message: working on the core bootstrap comments.
d57af21 was Taylor Otwell, 5 years ago, message: removed some comment bloat from view class.
bd4fe88 was Taylor Otwell, 5 years ago, message: refactoring the view class.
886a6f4 was Taylor Otwell, 5 years ago, message: Merge pull request #93 from wGEric/develop
ca19b5e was Eric Faerber, 5 years ago, message: Test cases for routes
